epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.299,0.78765,3.58073,0.01041,0.12312,0.99612,0.74319,0.65192,0.53453,5.02535,0.00881,0.000545918,0.000545918,0.000545918
2,548.588,0.70555,2.13012,0.0088,0.83172,0.86623,0.93214,0.77981,0.71251,3.38201,0.01197,0.00109068,0.00109068,0.00109068
3,819.172,0.69553,1.56229,0.0082,0.9379,0.9138,0.98172,0.82238,0.65262,2.08362,0.01092,0.00162444,0.00162444,0.00162444
4,1090.34,0.68774,1.26262,0.0084,0.95459,0.95533,0.9867,0.83526,0.64773,1.45706,0.01064,0.00161749,0.00161749,0.00161749
5,1363.78,0.69243,0.99918,0.00837,0.93044,0.94574,0.98259,0.84897,0.56415,1.14321,0.00931,0.00160099,0.00160099,0.00160099
6,1631.58,0.63377,0.80605,0.00756,0.92405,0.95184,0.98519,0.82655,0.67079,0.89644,0.01139,0.00158448,0.00158448,0.00158448
7,1899.06,0.62184,0.66563,0.00728,0.97717,0.93656,0.99178,0.83122,0.6667,0.7104,0.01107,0.00156798,0.00156798,0.00156798
8,2165.27,0.61835,0.5879,0.00721,0.95625,0.97811,0.99292,0.84894,0.5883,0.57265,0.00967,0.00155148,0.00155148,0.00155148
9,2430.55,0.58172,0.52414,0.00682,0.98413,0.9718,0.99333,0.85458,0.62953,0.45966,0.01034,0.00153497,0.00153497,0.00153497
10,2696.78,0.59832,0.49702,0.007,0.9604,0.94428,0.98299,0.83478,0.64225,0.51641,0.01056,0.00151847,0.00151847,0.00151847
11,2963.74,0.55329,0.43578,0.00646,0.95786,0.95576,0.98921,0.86204,0.53478,0.41854,0.00867,0.00150197,0.00150197,0.00150197
12,3232.16,0.5395,0.39881,0.00618,0.97598,0.97922,0.99312,0.86431,0.5664,0.33481,0.0093,0.00148546,0.00148546,0.00148546
13,3518.96,0.53431,0.38429,0.00608,0.95313,0.98446,0.98786,0.84392,0.62828,0.36881,0.01046,0.00146896,0.00146896,0.00146896
14,3813.51,0.53072,0.36948,0.00604,0.91526,0.95148,0.96949,0.8155,0.66863,0.43081,0.01115,0.00145246,0.00145246,0.00145246
15,4097.47,0.52918,0.35099,0.00605,0.98875,0.96283,0.99166,0.87213,0.55756,0.30513,0.00909,0.00143595,0.00143595,0.00143595
16,4377.79,0.52224,0.32894,0.00623,0.96649,0.95877,0.9838,0.87035,0.5533,0.35366,0.00892,0.00141945,0.00141945,0.00141945
17,4649.47,0.52169,0.33361,0.00603,0.95474,0.9691,0.97526,0.85577,0.54365,0.3389,0.0087,0.00140295,0.00140295,0.00140295
18,4923.33,0.5291,0.32291,0.00616,0.9222,0.97766,0.97367,0.85313,0.57264,0.3518,0.0095,0.00138644,0.00138644,0.00138644
19,5189.81,0.53643,0.30902,0.00609,1,0.97205,0.99363,0.8787,0.5512,0.27421,0.00882,0.00136994,0.00136994,0.00136994
20,5443.89,0.50584,0.31297,0.00587,0.99013,0.96755,0.99454,0.85212,0.60409,0.26904,0.00981,0.00135344,0.00135344,0.00135344
21,5704.42,0.51069,0.29791,0.00559,0.98131,0.94551,0.99165,0.86147,0.56814,0.28729,0.00922,0.00133693,0.00133693,0.00133693
22,5978.55,0.50207,0.29491,0.00559,0.95479,0.97807,0.99346,0.85966,0.59712,0.25561,0.00988,0.00132043,0.00132043,0.00132043
23,6252.77,0.46934,0.27105,0.00546,0.9265,0.98337,0.9899,0.88112,0.51942,0.27692,0.00837,0.00130393,0.00130393,0.00130393
24,6526.19,0.47729,0.27005,0.00555,0.9911,0.96085,0.99195,0.87531,0.59406,0.26306,0.00922,0.00128742,0.00128742,0.00128742
25,6801.91,0.48296,0.26288,0.00542,0.98821,0.97648,0.99194,0.87624,0.5458,0.27036,0.00877,0.00127092,0.00127092,0.00127092
26,7075.28,0.45771,0.25674,0.00524,0.98437,0.94641,0.98688,0.87945,0.51601,0.28879,0.00817,0.00125442,0.00125442,0.00125442
27,7348.29,0.44411,0.2467,0.00506,0.98323,0.95821,0.99271,0.89081,0.5129,0.23278,0.0081,0.00123791,0.00123791,0.00123791
28,7621.32,0.44634,0.25545,0.00519,0.94906,0.96936,0.98885,0.8705,0.56253,0.28031,0.00906,0.00122141,0.00122141,0.00122141
29,7891.72,0.44103,0.26171,0.00516,0.97735,0.9666,0.993,0.89018,0.53544,0.2568,0.00863,0.00120491,0.00120491,0.00120491
30,8162.34,0.43087,0.24924,0.00492,0.97026,0.95805,0.99074,0.89289,0.51539,0.26333,0.00836,0.0011884,0.0011884,0.0011884
31,8429.02,0.41322,0.23336,0.00472,0.99122,0.97332,0.99205,0.88581,0.50202,0.23083,0.00798,0.0011719,0.0011719,0.0011719
32,8699.47,0.42073,0.23358,0.00489,0.99431,0.98223,0.99392,0.88558,0.50889,0.23172,0.0081,0.0011554,0.0011554,0.0011554
33,8969.74,0.42676,0.22637,0.00479,0.99442,0.97674,0.99369,0.90286,0.51149,0.22802,0.00816,0.00113889,0.00113889,0.00113889
34,9241.18,0.41019,0.2277,0.00464,0.97631,0.97887,0.992,0.87907,0.53834,0.2807,0.00869,0.00112239,0.00112239,0.00112239
