id,Category
3219,0
3220,1
3221,1
3222,2
3223,0
3224,0
3225,0
3226,4
3227,3
3228,0
3229,2
3230,1
3231,0
3232,0
3233,0
3234,0
3235,4
3236,0
3237,1
3238,4
3239,0
3240,0
3241,0
3242,4
3243,4
3244,0
3245,1
3246,1
3247,1
3248,3
3249,4
3250,1
3251,4
3252,4
3253,1
3254,1
3255,4
3256,3
3257,0
3258,1
3259,4
3260,4
3261,0
3262,4
3263,0
3264,0
3265,0
3266,2
3267,1
3268,0
3269,1
3270,0
3271,1
3272,4
3273,0
3274,1
3275,1
3276,1
3277,4
3278,0
3279,0
3280,0
3281,4
3282,1
3283,3
3284,0
3285,1
3286,4
3287,0
3288,1
3289,0
3290,4
3291,3
3292,2
3293,4
3294,0
3295,1
3296,4
3297,1
3298,4
3299,4
3300,4
3301,1
3302,3
3303,4
3304,0
3305,0
3306,0
3307,1
3308,1
3309,3
3310,1
3311,4
3312,2
3313,2
3314,4
3315,0
3316,1
3317,0
3318,0
3319,1
3320,0
3321,4
3322,1
3323,0
3324,4
3325,0
3326,4
3327,0
3328,1
3329,0
3330,0
3331,1
3332,1
3333,0
3334,1
3335,4
3336,1
3337,4
3338,4
3339,0
3340,0
3341,3
3342,4
3343,0
3344,3
3345,4
3346,1
3347,1
3348,0
3349,4
3350,4
3351,1
3352,4
3353,0
3354,0
3355,4
3356,4
3357,1
3358,1
3359,4
3360,0
3361,1
3362,0
3363,3
3364,4
3365,1
3366,3
3367,0
3368,4
3369,3
3370,4
3371,1
3372,4
3373,0
3374,0
3375,4
3376,0
3377,4
3378,3
3379,4
3380,1
3381,1
3382,4
3383,0
3384,4
3385,0
3386,1
3387,1
3388,4
3389,4
3390,4
3391,1
3392,4
3393,0
3394,0
3395,1
3396,1
3397,0
3398,0
3399,3
3400,0
3401,3
3402,0
3403,4
3404,0
3405,2
3406,0
3407,0
3408,1
3409,4
3410,1
3411,3
3412,0
3413,4
3414,1
3415,0
3416,1
3417,4
3418,1
3419,0
3420,4
3421,4
3422,4
3423,3
3424,0
3425,1
3426,4
3427,1
3428,3
3429,4
3430,2
3431,4
3432,4
3433,4
3434,0
3435,0
3436,0
3437,1
3438,4
3439,0
3440,4
3441,0
3442,4
3443,0
3444,4
3445,4
3446,4
3447,3
3448,1
3449,1
3450,0
3451,0
3452,1
3453,4
3454,1
3455,0
3456,0
3457,1
3458,0
3459,0
3460,4
3461,0
3462,4
3463,0
3464,0
3465,1
3466,4
3467,0
3468,4
3469,0
3470,4
3471,0
3472,0
3473,0
3474,1
3475,4
3476,4
3477,1
3478,0
3479,4
3480,2
3481,4
3482,2
3483,0
3484,4
3485,0
3486,4
3487,4
3488,4
3489,4
3490,4
3491,1
3492,4
3493,2
3494,0
3495,1
3496,1
3497,0
3498,1
3499,0
3500,1
3501,0
3502,1
3503,3
3504,3
3505,1
3506,1
3507,0
3508,2
3509,1
3510,4
3511,1
3512,4
3513,4
3514,0
3515,1
3516,0
3517,3
3518,4
3519,4
3520,0
3521,4
3522,0
3523,0
3524,4
3525,0
3526,1
3527,1
3528,4
3529,0
3530,0
3531,2
3532,0
3533,4
3534,1
3535,1
3536,4
3537,4
3538,3
3539,4
3540,1
3541,4
3542,2
3543,0
3544,0
3545,4
3546,4
3547,0
3548,1
3549,4
3550,1
3551,0
3552,3
3553,0
3554,3
3555,1
3556,4
3557,4
3558,1
3559,4
3560,0
3561,0
3562,4
3563,4
3564,1
3565,0
3566,1
3567,1
3568,0
3569,3
3570,1
3571,1
3572,4
3573,4
3574,1
3575,4
3576,0
3577,0
3578,0
3579,4
3580,0
3581,1
3582,4
3583,4
3584,4
3585,0
3586,1
3587,4
3588,3
3589,0
3590,1
3591,0
3592,4
3593,1
3594,0
3595,0
3596,1
